Index,Bar,Type,Adresse,Code Postal,Quartier,Pays,Latitude,Longitude,Consommateur,Prix,Note,Commentaire AR,Commentaire VB,Latitude,Longitude,,
0,‘t Stopsel,,Kuregemstraat 18 1831 Diegem,1831,Diegem,Belgique,,,,,,,,,
1,1030 Café,,"Jan Stobbaertslaan , 100 1030 Schaerbeek",1030,Schaerbeek,Belgique,,,,,,,,,
2,123 rue Royale,,Rue Royale 123,1000,Bruxelles,Belgique,,,,,,,,,
3,13 Degrés,,Place Jourdan 49,1040,Etterbeek,Belgique,,,,,,,,,
4,36 Baronomie,,Avenue de Woluwé Saint-Lambert 36,1200,Woluwé-Saint-Lambert,Belgique,,,,,,,,,
5,A l'Imaige Nostre-Dame,,"Rue du Marché aux Herbes, 3",1000,Bruxelles,Belgique,,,,,,,,,
6,À La Bécasse,,"Taborastraat, 11 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,,,
7,À la Mort Subite,,Rue Mtgn Herbes Potagères 1000 Bruxelles,1000,Bruxelles,Belgique,,,,,,,,,
8,A.M. Sweet,,"Rue des Chartreux, 4 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,,,
9,Affligem Café,,"Boulevard Anspach, 81 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,,,
10,Ah Non peut-être,,Rue de la Croix de Fer 40,1000,Bruxelles,Belgique,,,,,,,,,
11,Alice Cocktail Bar,,Avenue Louise 190,1000,Bruxelles,Belgique,,,,,,,,,
12,Alice Restaurant & Cocktail Bar,,"Louizalaan, 190 1050 Ixelles",1050,Ixelles,Belgique,,,,,,,,,
13,Amalgame,,"Rue des Pierres, 45 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,,,
14,Arion Cafe,,Rue Dejoncker 54 Place Stephanie,1060,Saint-Gilles,Belgique,,,,,,,,,
15,Arthur Orlans - Cocktails & Tailoring,,"Rue Antoine Dansaert, 67 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,,,
16,Au Bassin,Bar,Quai aux Briques 1000 Bruxelles,1000,Bruxelles,Belgique,,,VB,2,5,,,,
17,Au Bois d’Ebène,,Bd du Midi 122,1000,Bruxelles,Belgique,,,,,,,,,
18,Au Brasseur,,rue des Chapeliers 9 ,1000,Bruxelles,Belgique,,,,,,,,,
19,Au Daringman,,Rue de Flandre 37,1000,Bruxelles,Belgique,,,,,,,,,
20,Au Soleil,,Rue du Marché au Charbon 86,1000,Bruxelles,Belgique,,,,,,,,,
21,AuBallon,Bar,"Pl. Saint-Denis 1, 1190 Forest",1190,Forest,Belgique,,,AR,2,2,,,,
22,Authentic gueuze,,"Rue Gheude, 56-58 1070 Anderlecht",1070,Anderlecht,Belgique,,,,,,,,,
23,B'artist Café,,"Rue du Châtelain, 17 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,,,
24,Babel,,Place de la Liberté 1,1000,Bruxelles,Belgique,,,,,,,,,
25,Banco Bar,,"Rue du Bailli, 79 1050 Ixelles",1050,Ixelles,Belgique,,,,,,,,,
26,Bar 77,,Av. de la Couronne 437,1050,Ixelles,Belgique,,,VB,1,2,,"Festifs, étudiant mais rien de spécial",,
27,Bar de la Victoire,,Rue de la Victoire 41 1060 Saint Gilles,1060,Saint-Gilles,Belgique,,,VB,,,,,,
28,Bar des Amis,Bar,"Rue Sainte-Catherine, 30 1000 Bruxelles",1000,Bruxelles,Belgique,,,VB,,,,,,
29,Bar du Gaspi,,"Chaussée de Haecht, 309 1030 Schaerbeek",1030,Schaerbeek,Belgique,,,,,,,,,
30,Bar du Marché,Bar à cocktails,"Rue Alphonse De Witte, 12 1050 Ixelles",1050,Ixelles,Belgique,,,VB,3,4,,,,
31,Bar Eliza,,Parc Elisabeth,1081,Koekelberg,Belgique,,,,,,,,,
32,Bar Magritte,,Vruntstraat 1000 Bruxelles,1000,Bruxelles,Belgique,,,,,,,,,
33,Bar Rouge,,"Rue de Louvain, 12 1000 Bruxelles",1000,Bruxelles,Belgique,,,,,,,,,
